year,x,sex,dx,ex,lx,mx,qx
1980,56,female,752.9,22.96,90501.4,0.008354,0.008319
1980,56,male,1392,18.15,84924,0.016527,0.016391
1980,57,female,919.3,22.15,89748.4,0.010296,0.010243
1980,57,male,1416.1,17.45,83532,0.017098,0.016953
1980,58,female,924.2,21.38,88829.1,0.010459,0.010405
1980,58,male,1503.4,16.74,82115.9,0.018478,0.018309
1980,59,female,931.4,20.6,87904.9,0.010652,0.010596
1980,59,male,1669.2,16.04,80612.4,0.020923,0.020706
1980,60,female,1109.8,19.81,86973.5,0.012843,0.012761
1980,60,male,1727.4,15.37,78943.3,0.022124,0.021882
1980,61,female,1122.4,19.06,85863.6,0.013158,0.013072
1980,61,male,1883.1,14.7,77215.8,0.024689,0.024388
1980,62,female,1324.2,18.31,84741.2,0.01575,0.015627
1980,62,male,2012.4,14.06,75332.7,0.027076,0.026714
1980,63,female,1289.8,17.59,83417,0.015582,0.015462
1980,63,male,2226.8,13.43,73320.3,0.030839,0.030371
1980,64,female,1493.7,16.86,82127.2,0.018355,0.018188
1980,64,male,2321,12.84,71093.5,0.033189,0.032647
1980,65,female,1534.2,16.16,80633.5,0.019209,0.019027
1980,65,male,2417.8,12.25,68772.5,0.035786,0.035157
1980,66,female,1706.3,15.46,79099.3,0.021807,0.021572
1980,66,male,2471,11.68,66354.7,0.037946,0.03724
1980,67,female,1742.4,14.79,77393,0.02277,0.022514
1980,67,male,2537.5,11.11,63883.7,0.040525,0.03972
1980,68,female,1755.4,14.12,75650.6,0.023476,0.023204
1980,68,male,2700.8,10.55,61346.2,0.045017,0.044026
1980,69,female,1877.5,13.45,73895.2,0.025734,0.025408
1980,69,male,3035.5,10.02,58645.3,0.053135,0.05176
1980,70,female,1922.4,12.78,72017.7,0.027055,0.026694
1980,70,male,2841.5,9.54,55609.9,0.052437,0.051098
1980,71,female,2313.1,12.12,70095.3,0.033553,0.032999
1980,71,male,2940.5,9.02,52768.3,0.057322,0.055725
1980,72,female,2324.4,11.52,67782.2,0.03489,0.034292
1980,72,male,3132.7,8.52,49827.8,0.064912,0.062871
1980,73,female,2532.9,10.91,65457.8,0.039458,0.038695
1980,73,male,3419.9,8.06,46695.1,0.076023,0.073239
1980,74,female,2706.7,10.33,62924.9,0.04396,0.043015
1980,74,male,3350.3,7.66,43275.1,0.080536,0.077418
1980,75,female,2792.3,9.77,60218.2,0.04747,0.04637
1980,75,male,3344.6,7.26,39924.9,0.087435,0.083772
1980,76,female,3095.5,9.22,57425.9,0.055398,0.053905
1980,76,male,3199.5,6.88,36580.3,0.091467,0.087466
1980,77,female,3163.3,8.72,54330.4,0.059969,0.058223
1980,77,male,3245.8,6.49,33380.7,0.102205,0.097236
1980,78,female,3174.5,8.22,51167.1,0.064028,0.062042
1980,78,male,3173.4,6.14,30134.9,0.111161,0.105308
1980,79,female,3330.4,7.74,47992.6,0.071889,0.069395
