country,year,sex,e0,label,include,ch_e0
SVN,1989,male,69.24,Slovenia,1,NA
SWE,1989,male,74.78,Sweden,1,NA
TWN,1989,male,71.2,Taiwan,1,NA
UKR,1989,male,66.13,Ukraine,1,NA
GBR_NP,1989,male,72.58,United Kingdom,1,NA
USA,1989,male,71.6,USA,1,NA
AUS,1990,female,80.15,Australia,1,0.7700000000000102
AUT,1990,female,78.87,Austria,1,0.21000000000000796
BEL,1990,female,79.33,Belgium,1,0.4099999999999966
BGR,1990,female,74.81,Bulgaria,1,-0.09999999999999432
BLR,1990,female,75.79,Belarus,1,-0.5499999999999972
CAN,1990,female,80.63,Canada,1,0.23999999999999488
CHE,1990,female,80.71,Switzerland,1,-0.23000000000000398
CZE,1990,female,75.4,Czechia,1,-0.030000000000001137
DEUTNP,1990,female,78.42,Germany,1,NA
DNK,1990,female,77.73,Denmark,1,-0.030000000000001137
ESP,1990,female,80.56,Spain,1,0.060000000000002274
EST,1990,female,74.91,Estonia,1,0.01999999999999602
FIN,1990,female,78.88,Finland,1,-0.020000000000010232
FRATNP,1990,female,80.97,France,1,0.3100000000000023
GRC,1990,female,79.63,Greece,1,0.09999999999999432
HUN,1990,female,73.78,Hungary,1,0.060000000000002274
IRL,1990,female,77.72,Ireland,1,0.4200000000000017
ISL,1990,female,80.53,Iceland,1,0.4300000000000068
ISR,1990,female,78.79,Israel,1,0.4100000000000108
ITA,1990,female,80.25,Italy,1,0.09999999999999432
JPN,1990,female,81.87,Japan,1,0.07000000000000739
LTU,1990,female,76.15,Lithuania,1,-0.05999999999998806
LUX,1990,female,78.23,Luxembourg,1,0.2400000000000091
LVA,1990,female,74.51,Latvia,1,-0.5799999999999983
NLD,1990,female,80.09,Netherlands,1,0.18000000000000682
NOR,1990,female,79.8,Norway,1,-0.04000000000000625
NZL_NP,1990,female,78.36,New Zealand,1,0.37000000000000455
POL,1990,female,75.28,Poland,1,0.0799999999999983
PRT,1990,female,77.8,Portugal,1,-0.37000000000000455
RUS,1990,female,74.31,Russia,1,-0.1799999999999926
SVK,1990,female,75.38,Slovakia,1,0.0899999999999892
SVN,1990,female,77.69,Slovenia,1,0.45000000000000284
SWE,1990,female,80.4,Sweden,1,-0.1599999999999966
TWN,1990,female,76.73,Taiwan,1,0.27000000000001023
UKR,1990,female,74.9,Ukraine,1,-0.28999999999999204
GBR_NP,1990,female,78.5,United Kingdom,1,0.4200000000000017
USA,1990,female,78.85,USA,1,0.28999999999999204
AUS,1990,male,73.98,Australia,1,0.8700000000000045
AUT,1990,male,72.23,Austria,1,0.3299999999999983
BEL,1990,male,72.7,Belgium,1,0.38000000000000966
BGR,1990,male,68.08,Bulgaria,1,-0.21000000000000796
BLR,1990,male,66.24,Belarus,1,-0.4900000000000091
CAN,1990,male,74.23,Canada,1,0.35999999999999943
CHE,1990,male,73.95,Switzerland,1,-0.10999999999999943
CZE,1990,male,67.53,Czechia,1,-0.5900000000000034
DEUTNP,1990,male,71.91,Germany,1,NA
DNK,1990,male,72.02,Denmark,1,0.030000000000001137
ESP,1990,male,73.43,Spain,1,-0.03999999999999204
EST,1990,male,64.7,Estonia,1,-0.9899999999999949
FIN,1990,male,70.94,Finland,1,0.06999999999999318
FRATNP,1990,male,72.72,France,1,0.269999999999996
GRC,1990,male,74.66,Greece,1,0.18999999999999773
HUN,1990,male,65.15,Hungary,1,-0.0899999999999892
IRL,1990,male,72.11,Ireland,1,0.37000000000000455
ISL,1990,male,75.36,Iceland,1,-0.75
ISR,1990,male,75.31,Israel,1,0.5300000000000011
ITA,1990,male,73.63,Italy,1,0.03999999999999204
JPN,1990,male,75.95,Japan,1,-0.01999999999999602
LTU,1990,male,66.39,Lithuania,1,-0.45000000000000284
LUX,1990,male,72.29,Luxembourg,1,1.0600000000000023
LVA,1990,male,64.13,Latvia,1,-1.2000000000000028
NLD,1990,male,73.82,Netherlands,1,0.1599999999999966
NOR,1990,male,73.45,Norway,1,0.12000000000000455
NZL_NP,1990,male,72.48,New Zealand,1,0.6600000000000108
POL,1990,male,66.25,Poland,1,-0.20999999999999375
PRT,1990,male,70.77,Portugal,1,-0.3299999999999983
RUS,1990,male,63.76,Russia,1,-0.44000000000000483
SVK,1990,male,66.52,Slovakia,1,-0.29000000000000625
SVN,1990,male,69.76,Slovenia,1,0.5200000000000102
SWE,1990,male,74.81,Sweden,1,0.030000000000001137
TWN,1990,male,71.44,Taiwan,1,0.23999999999999488
UKR,1990,male,65.6,Ukraine,1,-0.5300000000000011
GBR_NP,1990,male,72.84,United Kingdom,1,0.2600000000000051
